 days post max Lbol   log_Lbol (erg/s)   log_Lnuc (erg/s)
     -4.870271E-04       4.272700E+01       4.201072E+01
     -4.870259E-04       4.272700E+01       4.201072E+01
     -4.870248E-04       4.272700E+01       4.201072E+01
     -4.870237E-04       4.272700E+01       4.201072E+01
     -4.870210E-04       4.272700E+01       4.201072E+01
     -4.870184E-04       4.272700E+01       4.201072E+01
     -4.870158E-04       4.272700E+01       4.201072E+01
     -4.870131E-04       4.272700E+01       4.201072E+01
     -4.870073E-04       4.272700E+01       4.201072E+01
     -4.870015E-04       4.272700E+01       4.201072E+01
     -4.869957E-04       4.272700E+01       4.201072E+01
     -4.869899E-04       4.272700E+01       4.201072E+01
     -4.869772E-04       4.272700E+01       4.201072E+01
     -4.869645E-04       4.272700E+01       4.201072E+01
     -4.869518E-04       4.272700E+01       4.201072E+01
     -4.869390E-04       4.272700E+01       4.201072E+01
     -4.869123E-04       4.272700E+01       4.201072E+01
     -4.868855E-04       4.272700E+01       4.201072E+01
     -4.868320E-04       4.272700E+01       4.201072E+01
     -4.867226E-04       4.272700E+01       4.201072E+01
     -4.865054E-04       4.272700E+01       4.201072E+01
     -4.859822E-04       4.272700E+01       4.201072E+01
     -4.853817E-04       4.272700E+01       4.201072E+01
     -4.846640E-04       4.272700E+01       4.201072E+01
     -4.839463E-04       4.272700E+01       4.201072E+01
     -4.833544E-04       4.272700E+01       4.201072E+01
     -4.827625E-04       4.272700E+01       4.201072E+01
     -4.821706E-04       4.272700E+01       4.201072E+01
     -4.806256E-04       4.272700E+01       4.201072E+01
     -4.796726E-04       4.272700E+01       4.201072E+01
     -4.777665E-04       4.272700E+01       4.201072E+01
     -4.753648E-04       4.272700E+01       4.201072E+01
     -4.729632E-04       4.272700E+01       4.201072E+01
     -4.702410E-04       4.272700E+01       4.201072E+01
     -4.656769E-04       4.272700E+01       4.201072E+01
     -4.614731E-04       4.272700E+01       4.201072E+01
     -4.560669E-04       4.272700E+01       4.201072E+01
     -4.489537E-04       4.272700E+01       4.201072E+01
     -4.435852E-04       4.272700E+01       4.201072E+01
     -4.362803E-04       4.272700E+01       4.201072E+01
     -4.289911E-04       4.272700E+01       4.201072E+01
     -4.216871E-04       4.272700E+01       4.201072E+01
     -4.135916E-04       4.272700E+01       4.201072E+01
     -4.059296E-04       4.272700E+01       4.201072E+01
     -3.993857E-04       4.272700E+01       4.201072E+01
     -3.955462E-04       4.272700E+01       4.201072E+01
     -3.920206E-04       4.272700E+01       4.201072E+01
     -3.887059E-04       4.272700E+01       4.201072E+01
     -3.855693E-04       4.272700E+01       4.201072E+01
     -3.825149E-04       4.272700E+01       4.201072E+01
     -3.794822E-04       4.272700E+01       4.201072E+01
     -3.762554E-04       4.272700E+01       4.201072E+01
     -3.723242E-04       4.272700E+01       4.201072E+01
     -3.682422E-04       4.272700E+01       4.201072E+01
     -3.643404E-04       4.272700E+01       4.201072E+01
     -3.603409E-04       4.272700E+01       4.201072E+01
     -3.559933E-04       4.272700E+01       4.201072E+01
     -3.513499E-04       3.849300E+01       4.201072E+01
     -3.468590E-04       3.849200E+01       4.201072E+01
     -3.422810E-04       3.849200E+01       4.201072E+01
     -3.375405E-04       3.849100E+01       4.201072E+01
     -3.331787E-04       3.849100E+01       4.201072E+01
     -3.289852E-04       3.849100E+01       4.201072E+01
     -3.278951E-04       3.849100E+01       4.201072E+01
     -3.259330E-04       3.849100E+01       4.201072E+01
     -3.221589E-04       3.849100E+01       4.201072E+01
     -3.184057E-04       3.849100E+01       4.201072E+01
     -3.147341E-04       3.849000E+01       4.201072E+01
     -3.111475E-04       3.849000E+01       4.201072E+01
