 days post max Lbol   log_Lbol (erg/s)   log_Lnuc (erg/s)
     -3.070650E-05       3.895400E+01       4.281345E+01
     -2.901280E-05       3.895400E+01       4.281345E+01
     -2.731080E-05       3.895300E+01       4.281345E+01
     -2.569320E-05       3.895200E+01       4.281345E+01
     -2.418340E-05       3.895100E+01       4.281345E+01
     -2.261770E-05       3.895000E+01       4.281345E+01
     -2.147620E-05       3.895000E+01       4.281345E+01
     -2.048870E-05       3.894900E+01       4.281345E+01
     -1.964330E-05       3.894900E+01       4.281345E+01
     -1.886830E-05       3.894900E+01       4.281345E+01
     -1.809640E-05       3.894800E+01       4.281345E+01
     -1.731620E-05       3.894800E+01       4.281345E+01
     -1.654110E-05       3.894800E+01       4.281345E+01
     -1.601760E-05       3.894700E+01       4.281345E+01
     -1.596250E-05       3.894700E+01       4.281345E+01
     -1.596250E-05       3.894700E+01       4.281345E+01
     -1.596250E-05       3.894700E+01       4.281345E+01
     -1.596230E-05       3.894700E+01       4.281345E+01
     -1.594800E-05       3.894700E+01       4.281345E+01
     -1.587210E-05       3.894700E+01       4.281345E+01
     -1.585630E-05       3.894700E+01       4.281345E+01
     -1.585570E-05       3.894700E+01       4.281345E+01
     -1.585490E-05       3.894700E+01       4.281345E+01
     -1.584680E-05       3.894700E+01       4.281345E+01
     -1.578820E-05       3.894700E+01       4.281345E+01
     -1.578460E-05       3.894700E+01       4.281345E+01
     -1.577980E-05       3.894700E+01       4.281345E+01
     -1.573420E-05       3.894700E+01       4.281345E+01
     -1.570690E-05       3.894700E+01       4.281345E+01
     -1.570270E-05       3.894700E+01       4.281345E+01
     -1.569710E-05       3.894700E+01       4.281345E+01
     -1.565120E-05       3.894700E+01       4.281345E+01
     -1.562240E-05       3.894700E+01       4.281345E+01
     -1.562080E-05       3.894700E+01       4.281345E+01
     -1.561870E-05       3.894700E+01       4.281345E+01
     -1.558300E-05       3.894700E+01       4.281345E+01
     -1.552990E-05       3.894700E+01       4.281345E+01
     -1.552860E-05       3.894700E+01       4.281345E+01
     -1.552660E-05       3.894700E+01       4.281345E+01
     -1.547050E-05       3.894700E+01       4.281345E+01
     -1.540320E-05       3.894700E+01       4.281345E+01
     -1.540200E-05       3.894700E+01       4.281345E+01
     -1.539710E-05       3.894700E+01       4.281345E+01
     -1.533510E-05       3.894700E+01       4.281345E+01
     -1.527770E-05       3.894700E+01       4.281345E+01
     -1.527700E-05       3.894700E+01       4.281345E+01
     -1.527390E-05       3.894700E+01       4.281345E+01
     -1.522510E-05       3.894700E+01       4.281345E+01
     -1.513510E-05       3.894700E+01       4.281345E+01
     -1.512090E-05       3.894700E+01       4.281345E+01
     -1.512030E-05       3.894700E+01       4.281345E+01
     -1.511760E-05       3.894700E+01       4.281345E+01
     -1.507490E-05       3.894700E+01       4.281345E+01
     -1.498560E-05       3.894700E+01       4.281345E+01
     -1.486100E-05       3.894700E+01       4.281345E+01
     -1.475590E-05       3.894700E+01       4.281345E+01
     -1.466460E-05       3.894600E+01       4.281345E+01
     -1.456620E-05       3.894600E+01       4.281345E+01
     -1.445430E-05       3.894600E+01       4.281345E+01
     -1.431880E-05       3.894600E+01       4.281345E+01
     -1.417030E-05       3.894600E+01       4.281345E+01
     -1.402720E-05       3.894600E+01       4.281345E+01
     -1.389320E-05       3.894600E+01       4.281345E+01
     -1.373900E-05       3.894600E+01       4.281345E+01
     -1.359390E-05       3.894600E+01       4.281345E+01
     -1.348500E-05       3.894600E+01       4.281345E+01
     -1.336150E-05       3.894600E+01       4.281345E+01
     -1.322630E-05       3.894600E+01       4.281345E+01
     -1.309410E-05       3.894600E+01       4.281345E+01
     -1.295740E-05       3.894600E+01       4.281345E+01
     -1.280530E-05       3.894600E+01       4.281345E+01
     -1.263640E-05       3.894600E+01       4.281345E+01
     -1.248780E-05       3.894500E+01       4.281345E+01
     -1.233630E-05       3.894500E+01       4.281345E+01
     -1.217060E-05       3.894500E+01       4.281345E+01
     -1.201380E-05       3.894500E+01       4.281345E+01
     -1.186660E-05       3.894500E+01       4.281345E+01
     -1.171230E-05       3.894500E+01       4.281345E+01
     -1.155850E-05       3.894500E+01       4.281345E+01
     -1.142060E-05       3.894500E+01       4.281345E+01
     -1.128040E-05       3.894500E+01       4.281345E+01
